Product Name,Product Price,Product Camera,Product RAM,Product ROM,Product Display,Product Processor,Product Color,Product Rating
realme 10 Pro+ 5G,17499,108MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,Mediatek Dimensity 1080 5G,Hyperspace,4.4
realme 10 Pro+ 5G,27999,108MP + 8MP + 2MP | 16MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Mediatek Dimensity 1080 5G,Nebula Blue,4.4
realme Narzo 60X 5G,11925,50MP Rear Camera,6 GB RAM,128,17.07 cm (6.72 inch) Display,,Stellar Green,4.3
realme Narzo 60X 5G,12493,50MP Rear Camera,6 GB RAM,128,17.07 cm (6.72 inch) Display,mediatek dimensity 6100 plus processor,Nebula Purple,4.3
realme Narzo 60X 5G,11141,50MP Rear Camera | 2.07MP Front Camera,4 GB RAM,128,17.07 cm (6.72 inch) Display,,Nebla Purple,4.3
realme 12 Pro 5G,19999,50MP + 8MP + 32MP | 16MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 6 Gen 1,Submarine Blue,4.4
realme 12 Pro 5G,20999,50MP + 8MP + 32MP | 16MP Front Camera,8 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 6 Gen 1,Navigator Beige,4.4
realme X50 Pro,41999,64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,8 GB RAM,128,16.36 cm (6.44 inch) Full HD+ Display,Qualcomm Snapdragon 865,Rust Red,4.4
realme X50 Pro,47999,64MP + 12MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,12 GB RAM,256,16.36 cm (6.44 inch) Full HD+ Display,Qualcomm Snapdragon 865,Moss Green,4.4
realme GT 5G,43999,64MP + 8MP + 2MP | 16MP Front Camera,12 GB RAM,256,16.33 cm (6.43 inch) Full HD+ Display,Qualcomm Snapdragon 888,Racing Yellow,4.3
realme 12 Pro 5G,22999,50MP + 8MP + 32MP | 16MP Front Camera,12 GB RAM,256,17.02 cm (6.7 inch) Full HD+ Display,Snapdragon 6 Gen 1,Submarine Blue,4.4
realme 10 Pro 5G,18999,108MP + 2MP | 16MP Front Camera,6 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Qualcomm Snapdragon 695 5G,Dark Matter,4.3
realme 10 Pro 5G,19999,108MP + 2MP | 16MP Front Camera,8 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Qualcomm Snapdragon 695 5G,Dark Matter,4.3
realme GT 2 Pro,29999,50MP + 50MP + 2MP | 32MP Front Camera,12 GB RAM,256,17.02 cm (6.7 inch) Quad HD Display,Qualcomm Snapdragon 8 Gen 1 Mobile Platform,Paper White,4.3
realme 10 Pro 5G,12999,108MP + 2MP | 16MP Front Camera,6 GB RAM,128,17.07 cm (6.72 inch) Full HD+ Display,Qualcomm Snapdragon 695 5G,Hyperspace,4.3
realme GT 2 Pro,21999,50MP + 50MP + 2MP | 32MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Quad HD Display,Qualcomm Snapdragon 8 Gen 1 Mobile Platform,Paper Green,4.2
realme GT 2 Pro,21999,50MP + 50MP + 2MP | 32MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Quad HD Display,Qualcomm Snapdragon 8 Gen 1 Mobile Platform,Paper White,4.2
realme GT 2 Pro,21999,50MP + 50MP + 2MP | 32MP Front Camera,8 GB RAM,128,17.02 cm (6.7 inch) Quad HD Display,Qualcomm Snapdragon 8 Gen 1 Mobile Platform,Steel Black,4.2
